Code,Name,Year-Of-Inclusion
AFG,Afghanistan,1971
AGO,Angola,1994
BGD,Bangladesh,1975
BEN,Benin,1971
BTN,Bhutan,1971
BFA,Burkina Faso,1971
BDI,Burundi,1971
KHM,Cambodia,1991
CAF,Central African Republic,1975
TCD,Chad,1971
COM,Comoros,1977
COD,DR Congo,1991
DJI,Djibouti,1982
ERI,Eritrea,1994
ETH,Ethiopia,1971
GMB,Gambia,1975
GIN,Guinea,1971
GNB,Guinea-Bissau,1981
HTI,Haiti,1971
KIR,Kiribati,1986
LAO,Laos,1971
LSO,Lesotho,1971
LBR,Liberia,1990
MDG,Madagascar,1991
MWI,Malawi,1971
MLI,Mali,1971
MRT,Mauritania,1986
MOZ,Mozambique,1988
MMR,Myanmar,1987
NPL,Nepal,1971
NER,Niger,1971
RWA,Rwanda,1971
SEN,Senegal,2000
SLE,Sierra Leone,1982
SLB,Solomon Islands,1991
SOM,Somalia,1971
SSD,South Sudan,2012
SDN,Sudan,1971
STP,São Tomé & Príncipe,1982
TZA,Tanzania,1971
TLS,Timor-Leste,2003
TGO,Togo,1982
TUV,Tuvalu,1986
UGA,Uganda,1971
VUT,Vanuatu,1985
YEM,Yemen,1971
ZMB,Zambia,1991
